,State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder,poverty_proportion
112,AL,1,189,satsuma city school district,6198,1063,164,0.15428033866415805
113,AL,1,2940,scottsboro city school district,14613,2271,577,0.25407309555262
114,AL,1,2970,selma city school district,19757,3718,1798,0.4835933297471759
115,AL,1,3000,sheffield city school district,9058,1381,450,0.3258508327299059
116,AL,1,3030,shelby county school district,148461,27030,2851,0.10547539770625232
117,AL,1,3062,st. clair county school district,55529,9363,1582,0.16896293922887964
118,AL,1,3090,sumter county school district,13166,1974,885,0.44832826747720367
119,AL,1,3120,sylacauga city school district,12713,2215,794,0.35846501128668173
120,AL,1,3150,talladega city school district,15893,2570,878,0.3416342412451362
121,AL,1,3180,talladega county school district,48638,7998,2153,0.2691922980745186
122,AL,1,3210,tallapoosa county school district,22199,3343,894,0.2674244690397846
123,AL,1,3240,tallassee city school district,8986,1566,331,0.21136653895274585
124,AL,1,3270,tarrant city school district,6418,1304,676,0.5184049079754601
125,AL,1,3300,thomasville city school district,5688,979,243,0.24821246169560776
126,AL,1,3330,troy city school district,18451,2261,730,0.32286598850066345
127,AL,1,13,trussville city school district,19605,3795,367,0.09670619235836628
128,AL,1,3360,tuscaloosa city school district,93036,11250,3382,0.30062222222222224
129,AL,1,3390,tuscaloosa county school district,109176,19189,3461,0.1803637500651415
130,AL,1,3420,tuscumbia city school district,8594,1319,339,0.25701288855193327
131,AL,1,3430,vestavia hills city school district,34182,6360,394,0.061949685534591195
132,AL,1,3450,walker county school district,51418,8493,2274,0.26774991169198165
133,AL,1,3480,washington county school district,16834,2965,708,0.2387858347386172
134,AL,1,3510,wilcox county school district,11098,2124,924,0.4350282485875706
135,AL,1,3540,winfield city school district,6581,1053,205,0.19468186134852802
136,AL,1,3580,winston county school district,16122,2547,696,0.27326266195524146
137,AK,2,50,alaska gateway school district,2311,404,78,0.19306930693069307
138,AK,2,10,aleutian region school district,625,29,11,0.3793103448275862
139,AK,2,7,aleutians east borough school district,3360,247,33,0.13360323886639677
140,AK,2,180,anchorage school district,301010,52801,6543,0.12391810761159827
141,AK,2,525,annette island school district,1513,287,66,0.22996515679442509
142,AK,2,20,bering strait school district,6096,1613,580,0.3595784252944823
143,AK,2,30,bristol bay borough school district,957,142,15,0.1056338028169014
144,AK,2,730,chatham school district,1262,175,44,0.25142857142857145
145,AK,2,800,chugach school district,461,62,26,0.41935483870967744
146,AK,2,70,copper river school district,2783,499,77,0.15430861723446893
147,AK,2,60,cordova city school district,2205,375,14,0.037333333333333336
148,AK,2,90,craig city school district,1245,237,64,0.270042194092827
149,AK,2,100,delta/greely school district,4743,851,169,0.19858989424206816
150,AK,2,770,denali borough school district,1921,272,21,0.07720588235294118
151,AK,2,120,dillingham city school district,2397,441,69,0.1564625850340136
152,AK,2,600,fairbanks north star borough school district,99357,16314,1524,0.09341669731518941
153,AK,2,130,galena city school district,467,104,19,0.18269230769230768
154,AK,2,270,haines borough school district,2566,394,50,0.12690355329949238
155,AK,2,300,hoonah city school district,735,108,35,0.32407407407407407
156,AK,2,330,hydaburg city school district,389,70,14,0.2
157,AK,2,520,iditarod area school district,1096,226,46,0.20353982300884957
158,AK,2,210,juneau borough school district,32406,5245,407,0.07759771210676836
159,AK,2,360,kake city school district,577,97,28,0.28865979381443296
160,AK,2,5,kashunamiut school district,1007,293,130,0.44368600682593856
161,AK,2,390,kenai peninsula borough school district,57477,9569,1177,0.12300135855366287
162,AK,2,150,ketchikan gateway borough school district,13787,2251,335,0.14882274544646823
163,AK,2,450,klawock city school district,782,154,32,0.2077922077922078
164,AK,2,480,kodiak island borough school district,13986,2515,236,0.09383697813121272
165,AK,2,760,kuspuk school district,1477,340,117,0.34411764705882353
166,AK,2,485,lake and peninsula school district,1631,308,65,0.21103896103896103
167,AK,2,1,lower kuskokwim school district,14931,3743,1114,0.29762222815923056
168,AK,2,3,lower yukon school district,6459,1831,766,0.4183506280720918
169,AK,2,510,matanuska-susitna borough school district,97882,19756,2294,0.11611662279813728
170,AK,2,540,nenana city school district,375,68,10,0.14705882352941177
171,AK,2,570,nome school district,3721,728,150,0.20604395604395603
172,AK,2,610,north slope borough school district,9703,1666,252,0.15126050420168066
173,AK,2,625,northwest arctic borough school district,7717,1904,502,0.26365546218487396
174,AK,2,630,pelican city school district,85,11,3,0.2727272727272727
175,AK,2,660,petersburg borough school district,3160,493,51,0.10344827586206896
176,AK,2,670,pribilof school district,601,89,10,0.11235955056179775
177,AK,2,240,sitka borough school district,8900,1431,125,0.08735150244584207
178,AK,2,690,skagway school district,1036,82,5,0.06097560975609756
179,AK,2,700,southeast island school district,1890,282,51,0.18085106382978725
180,AK,2,710,southwest region school district,2591,602,181,0.30066445182724255
181,AK,2,680,st. marys city school district,544,146,51,0.3493150684931507
182,AK,2,715,tanana school district,244,48,11,0.22916666666666666
183,AK,2,720,unalaska city school district,4524,381,21,0.05511811023622047
184,AK,2,780,valdez city school district,3915,689,37,0.05370101596516691
185,AK,2,810,wrangell city school district,2364,368,47,0.12771739130434784
186,AK,2,840,yakutat city school district,635,86,20,0.23255813953488372
187,AK,2,775,yukon flats school district,1428,266,85,0.31954887218045114
188,AK,2,862,yukon-koyukuk school district,1984,376,144,0.3829787234042553
189,AK,2,4,yupiit school district,1414,366,158,0.43169398907103823
190,AZ,4,450,agua fria union high school district,129268,7902,1097,0.13882561376866617
191,AZ,4,480,aguila elementary district,1262,207,86,0.41545893719806765
192,AZ,4,520,ajo unified district,3386,424,148,0.3490566037735849
193,AZ,4,600,alhambra elementary district,90463,15357,7714,0.5023116494106922
194,AZ,4,630,alpine elementary district,465,47,12,0.2553191489361702
195,AZ,4,4770,altar valley elementary district,7455,1345,346,0.2572490706319703
196,AZ,4,680,amphitheater unified district,139577,19047,3986,0.20927180133354334
197,AZ,4,720,antelope union high school district,6613,354,93,0.2627118644067797
198,AZ,4,750,apache elementary district,161,22,8,0.36363636363636365
199,AZ,4,790,apache junction unified district,60880,7561,2034,0.2690120354450469
200,AZ,4,840,arlington elementary district,1593,264,83,0.3143939393939394
201,AZ,4,870,ash creek elementary district,683,49,22,0.4489795918367347
